Razão Social;Nome de Pregão;Código
CALDEIRÃO GRANDE ENERGIAS RENOVÁVEIS S.A.;CALDEIRÃO GR;CLGE
CALOI NORTE S.A.;CALOINORTE;CNOR
CAMARGO CORREA CONSTRUCOES E PARTICIPACOES S.A;CAMCORPART;CCCP
CAMARGO CORREA DESENV. IMOBILIARIO S.A.;CC DES IMOB;CCIM
CAMARGO CORREA INVESTIMENTOS EM INFRA-ESTRUTURA S/;CAMARGOINFRA;CCIF
CAMARGO CORREA S/A;CAMARGO;CCHO
CAMBUCI S.A.;CAMBUCI;CAMB
CAMIL ALIMENTOS S.A.;CAMIL;CAML
CAMPO FORMOSO I ENERGIAS RENOVAVEIS S/A;CAMPOFORMOSO;CFMS
CAMPO FORMOSO II ENERGIAS RENOVAVEIS S.A;CAMPOII;CMFI
CAMPO LARGO PARTICIPAÇÕES S/A;CAMPO LARGO;CLGP
CAMPOS DOS VENTOS V ENERGIAS RENOVAVEIS S.A.;CAMPOSVENTOS;CPVV
CAMPOS NOVOS ENERGIA S/A;CAMPOSNOVOS;CNEN
CANABRAVA ENERGETICA S/A;CANABRAVA;CNBE
CANTA GERACAO E COMERCIO DE ENERGIA SPE S/A;CANTAGERACAO;CGCE
CANTAREIRA TRANSMISSORA DE ENERGIA S/A;CANTAREIRA;CTRR
CAPRICORNIO S.A.;CAPRICORNIO;CRNI
CARANDAÍ PARTICIPAÇÕES S.A.;CARANDAIPART;CDAI
Carbon Holding Financeira S.A.;CARBON HOLD;CRHF
CARBONO PARTICIPACOES SOCIETARIAS S.A.;CARBONO PART;CRBP
CARTA GOIAS INDUSTRIA E COMERCIO DE PAPEIS S.A.;CARTAGOIAS;CTGO
CARUANA S/A PARTICIPACOES E EMPREENDIMENTOS;CARUANAPART;CRUN
CARUANA S/A SOCIEDADE DE CREDITO FINANCIAMENTO E I;CARUANACFI;CARU
CARVALHO HOSKEN S/A ENGENHARIA E CONSTRUCOES;CARVALHOHOSK;HOSK
CASA E VIDEO RIO DE JANEIRO S/A;CASAEVIDEO;CVRJ
CAVAN ROCBRA INDUSTRIA E COMERCIO DE PRE MOLDADOS;CAVANROCBRA;CVAN
CB COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIRO;CB CIA SEC;CBCF
CBO SERVICOS MARITIMOS LTDA;CBOSERVMARIT;CBOS
CCAB AGRO S.A.;CCAB;CCAB
CCB BRASIL S/A CREDITO FINANCIAMENTOS E INVESTIMEN;CCBBRASILCFI;SLFN
CCR S.A.;CCR SA;CCRO
CEA II CENTRAIS EOLICAS ASSURUA II SPE S/A;CEAII;CEAD
CEA IV - CENTRAIS EOLICAS ASSURUA IV SPE S.A.;CEAIVCENTRAI;CEIV
CEA MODAS S.A.;CEA MODAS;CEAB
CELEO REDES EXPANSÕES S.A.;CELEO REDES;CLEX
CELESC DISTRIBUICAO S.A.;CELESC DISTR;CLCD
CELESC GERACAO AS;CELESC GERAC;CLGR
CELG DISTRIBUICAO S.A. - CELG D;CELG;CGOS
CELSE - CENTRAIS ELETRICAS DE SERGIPE S.A.;CELSESERGIPE;CESE
CEMEPE INVESTIMENTOS S.A.;CEMEPE;MAPT
CEMIG CAPIM BRANCO ENERGIA S.A.;CAPIMBRANCO;CMCB
CEMIG DISTRIBUICAO S.A.;CEMIG DIST;CMGD
CEMIG GERACAO E TRANSMISSAO S.A.;CEMIG GT;CMGT
CENTRAIS ELET BRAS S.A. - ELETROBRAS;ELETROBRAS;ELET
CENTRAIS ELET DE SANTA CATARINA S.A.;CELESC;CLSC
CENTRAIS ELETRICAS DA PARAIBA S/A - EPASA;EPASA;EPSA
CENTRAIS ELETRICAS DE PERNAMBUCO S.A - EPESA;EPESA;CEPR
CENTRAIS ELETRICAS NORTE BRASIL S.A. ELETRONORTE;ELETRONORTE;ELTN
CENTRAIS EOLICAS ASSURUA I SPE S.A.;ASSURUAISPE;SSRU
CENTRAIS EOLICAS DE CAETITE PARTICIPACOES S/A;CAETITEPART;CEOL
CENTRAL EOLICA ANGICAL S.A.;ANGICAL;EANG
CENTRAL EOLICA BAIXA DO FEIJAO I S.A.;EOLICAFEIJAO;EBFU
CENTRAL EOLICA BAIXA DO FEIJAO II S/A;EOLICAFEIJAO;EBFD
CENTRAL EOLICA BAIXA DO FEIJAO III S.A;EOLICAFEIJAO;EBFT
CENTRAL EOLICA BAIXA DO FEIJAO IV S.A;EOLICAFEIJAO;EBFQ
CENTRAL EOLICA CAITITU S.A.;CAITITU;ECTT
CENTRAL EOLICA COQUEIRINHO S.A.;COQUEIRINHO;ECOQ
CENTRAL EOLICA CORRUPIAO S.A.;CORRUPIAO;ECRP
CENTRAL EOLICA INHAMBU S.A.;INHAMBU;EINH
CENTRAL EOLICA SANTO ANTONIO DE PADUA S/A;STOANTONIOPA;EOSP
CENTRAL EOLICA SAO CRISTOVAO S.A.;SAOCRISTOVAO;EOSC
CENTRAL EOLICA SAO JORGE S.A.;SAOJORGE;EOSJ
CENTRAL EOLICA TAMANDUA MIRIM S/A;EOLICATAMAND;ETMD
CENTRAL EOLICA TEIU S.A.;EOLICATEIU;TEIU
CENTRAL EÓLICA TERRA SANTA SPE I S.A.;E TERRASANTA;CETS
CENTRAL EÓLICA TERRA SANTA SPE II S.A.;TERRASANTAII;CEII
CENTRAL FOTOVOLTAICA SAO PEDRO II S/A;FOTOVOLT S P;FTSP
CENTRAL FOTOVOLTAICA SAO PEDRO IV S/A;FOTOVOLTSPIV;SPIV
CENTRAL GERADORA EOLICA COLONIA S.A.;COLONIA;ECOL
CENTRAL GERADORA EOLICA ICARAI I S.A.;ICARAII;EICA
CENTRAL GERADORA EOLICA ICARAI II S.A.;ICARAIII;EICD
CENTRAL GERADORA EOLICA TAIBA AGUIA S.A.;TAIBAAGUIA;EAGU
CENTRAL GERADORA EOLICA TAIBA ANDORINHA S.A.;EOLICATAIBA;EAND
CENTRAL HIDRELETRICA PALMEIRAS DO TOCANTINS S.A.;CHPALTOCANTI;HITC
CENTRAL HIDRELETRICA SUCURI S.A.;CHSUCURI;SUCU
CENTRO DE IMAGEM DIAGNOSTICOS S.A.;ALLIAR;AALR
CENTRO PAULISTA DE ONCOLOGIA S.A;CENTROPAULIS;CPOG
CEOS ADMINISTRADORA DE BENS S.A.;CEOSADM;CEOS
CER - COMPANHIA DE ENERGIAS RENOVAVEIS;CERENERGIAS;CDER
CERAN - COMPANHIA ENERGETICA RIO DAS ANTAS;CERAN;CERN
CERRADINHO ACUCAR ETANOL E ENERGIA S.A.;CERRADINHOEN;UCAA
CERRADINHO BIOENERGIA S.A.;CERRADINHO;CERR
CETREL S/A;CETREL;CTRL
CGD EMPREENDIMENTOS S.A.;CGD EMPREEND;CGDE
CHAPADA DO PIAUI I HOLDING S.A.;CHAPADAI;CHPA
CHB-COMPANHIA HIPOTECARIA BRASILEIRA;CHBCH;CHBR
CHIMARRÃO TRANSMISSORA DE ENERGIA S.A.;CHIMARRAOENE;CHTE
CHINA CONSTRUCTION BANK (BRASIL) BCO MULTIPLO S.A.;CCBBM;BICB
CI 004 EMPREENDIMENTOS IMOBILIARIOS LTDA;CI 004 EMPR;CIEI
CIA AGROPECUARIA DO ARAME;AGROP ARAME;ARAM
CIA BRASILEIRA DE DISTRIBUICAO;P.ACUCAR-CBD;PCAR
CIA CATARINENSE DE AGUAS E SANEAM.-CASAN;CASAN;CASN
CIA CELG DE PARTICIPACOES - CELGPAR;CELGPAR;GPAR
CIA DE FIACAO E TECIDOS SANTO ANTONIO;FIAC S ANTON;FTSA
CIA DISTRIB DE GAS DO RIO DE JANEIRO-CEG;CEG;CEGR
CIA ELETRICIDADE EST. DA BAHIA - COELBA;COELBA;CEEB
CIA ENERGETICA DE BRASILIA;CEB;CEBR
CIA ENERGETICA DE MINAS GERAIS - CEMIG;CEMIG;CMIG
CIA ENERGETICA DE PERNAMBUCO - CELPE;CELPE;CEPE
CIA ENERGETICA DO CEARA - COELCE;COELCE;COCE
CIA ENERGETICA DO RIO GDE NORTE - COSERN;COSERN;CSRN
CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D;CEEE-D;CEED
CIA ESTADUAL DE TRANSMISSÃO DE ENER. ELET-CEEE-T;CEEE-T;EEEL
CIA FERRO LIGAS DA BAHIA - FERBASA;FERBASA;FESA
CIA FIACAO TECIDOS CEDRO CACHOEIRA;CEDRO;CEDO
CIA GAS DE SAO PAULO - COMGAS;COMGAS;CGAS
CIA GERAÇÃO E TRANSMISSÃO DE ENERG ELETR SUL DO BR;CGTELETROSUL;CTGE
CIA HABITASUL DE PARTICIPACOES;HABITASUL;HBTS
CIA INDUSTRIAL CATAGUASES;IND CATAGUAS;CATA
CIA MELHORAMENTOS DE SAO PAULO;MELHOR SP;MSPA
CIA PARANAENSE DE ENERGIA - COPEL;COPEL;CPLE
CIA PARTICIPACOES ALIANCA DA BAHIA;PAR AL BAHIA;PEAB
CIA PAULISTA DE FORCA E LUZ;PAUL F LUZ;PALF
CIA PIRATININGA DE FORCA E LUZ;CPFL PIRATIN;CPFP
CIA SANEAMENTO BASICO EST SAO PAULO;SABESP;SBSP
CIA SANEAMENTO DE MINAS GERAIS-COPASA MG;COPASA;CSMG
CIA SANEAMENTO DO PARANA - SANEPAR;SANEPAR;SAPR
CIA SEC DE CRÉDITOS FINANCEIROS VERT-LEVE CAPITAL;VERT-LEVECAP;VERL
CIA SEC DE CRÉDITOS FINANCEIROS VOLCANO II;VOLCANO II;CSVO
CIA SECURIT. DE CRÉDITOS FINA. CARTOES CONSIG. II;CIASECURIT;CRCG
CIA SECURITIZ. DE CRÉDITOS FINANCEIROS VERT PROVI;VERT PROVI;CRFN
CIA SECURITIZADORA DE CREDITOS FINANCEIROS VERT 2;CIASECVERT 2;SCVR
CIA SEGUROS ALIANCA DA BAHIA;SEG AL BAHIA;CSAB
CIA SIDERURGICA NACIONAL;SID NACIONAL;CSNA
CIA TECIDOS NORTE DE MINAS COTEMINAS;COTEMINAS;CTNM
CIA TECIDOS SANTANENSE;SANTANENSE;CTSA
CIBE ENERGIA E PARTICIPACOES S. A.;CIBE;CIBP
CIBRAFERTIL CIA BRASILEIRA DE FERTILIZANTES;CIBRAFERTILI;CFRT
CICLUS AMBIENTAL DO BRASIL S.A.;CICLUS AMBIE;CCLS
CIDADANIA PARTICIPACOES S.A.;CIDADANIA;CDDN
CIDADE MARAVILHOSA IND. E COM. DE ROUPAS S.A.;CIDADE MARAV;CMRV
CIELO S.A. - INSTITUIÇÃO DE PAGAMENTO;CIELO;CIEL
CIFRA S/A CREDITO FINANCIAMENTO E INVESTIMENTO;CIFRACFI;CSCS
CIMAR - CIMENTOS DO MARANHAO S.A.;CIMAR;CIMA
CIMED INDUSTRIA S.A.;CIMED INDUST;CIME
CIMS S.A.;CIMS;CMSA
CINEL ALIMENTOS COM IMP EXP SA;CINEL;CINL
CINESYSTEM S.A.;CINESYSTEM;CNSY
CIPASA DESENVOLVIMENTO URBANO S/A;CIPASA;CIPS
CIRANDA II HOLDING 2 S.A.;CIRANDA II;CHDD
CIRANDA II HOLDING S.A.;CIRANDAIIHOL;CIIH
CL RJ 012 EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;CLRJ012 EMPR;CLRJ
CL&AM CAPITAL FOR TECHNOLOGY AND IOT DO BRASIL S.A;CLAM CAPITAL;CLCA
CLARINDO PARTICIPACOES E INVESTIMENTOS S/A;CLARINDOPART;CLRN
CLARO S.A.;CLAROSA;BCPS
CLEAR SALE S.A.;CLEARSALE;CLSA
CLINICA DELFIN GONZALEZ MIRANDA S.A.;CLINICADELFI;DFNG
CLIQUE RETIRE TECNOLOGIA E LOGISTICA S.A.;CLIQUERETIRE;CLRE
CM HOSPITALAR S.A.;VIVEO;VVEO
CODEME ENGENHARIA S/A;CODEME;CODE
COGNA EDUCAÇÃO S.A.;COGNA ON;COGN
COLEGIO VIMASA S.A;VIMASA;VMSA
COLINAS TRANSMISSORA DE ENERGIA ELÉTRICA S/A;COLINAS ENER;CLNS
COLOMBO AGROINDÚSTRIA S/A;COLOMBO AGRO;CLAG
COLUMBIA DO NORDESTE S/A;COLUMBIA;CLND
COMERC PARTICIPACOES S.A.;COMERC PAR;COMR
COMERCIAL AUTOMOTIVA S/A;COMERCIALSA;DPAS
COMFRIO SOLUCOES LOGISTICAS S. A.;COMFRIO;CFRI
COMPANHIA ADMINISTRADORA DE EMPREENDIMENTOS E SERV;CIASERVICOS;CAES
COMPANHIA AGRICOLA USINA JACAREZINHO;CIAJACAREZIN;JCRZ
COMPANHIA AGUAS DE ITAPEMA;AGUASDEITAPE;ITPE
COMPANHIA BAUER RJ - ATIVIDADES AGROPECUARIAS E P;BAUERRJ;BAUE
Companhia Brasileira de Alumínio;CBA;CBAV
COMPANHIA BRASILEIRA DE BEBIDAS PREMIUM;PREMIUM;CBBP
COMPANHIA BRASILEIRA DE EDUCAÇÃO E SISTEMAS DE ENS;COMPANHIA BR;EDSE
COMPANHIA BRASILEIRA DE PLANOS FUNERARIOS S.A.;P FUNERARIOS;CBPF
COMPANHIA BRASILEIRA DE VIDROS PLANOS - CBVP;CIABRAVIDROS;CBVP
COMPANHIA CAMINHO AÉREO PÃO DE AÇÚCAR;CAMINHOAEREO;CPDA
COMPANHIA DE DESENVOLVIMENTO ECONOMICO DE MINAS G;CODEMIG;CDMG
COMPANHIA DE ELETRICIDADE DO AMAPÁ - CEA;CEA AMAPA;CEAP
COMPANHIA DE GAS DE MINAS GERAIS GASMIG;GASMIG;GASM
COMPANHIA DE PARTICIPACOES EM CONCESSOES;CIA PART CON;CPCC
COMPANHIA DO METRO DA BAHIA;METRODABAHIA;MTBA
COMPANHIA ENERGETICA CANDEIAS;ENERGCANDEIA;CNDS
COMPANHIA ENERGÉTICA CANOAS;ENERG CANOAS;KNOA
COMPANHIA ENERGETICA DO JARI - CEJA;CEJA;CEJA
COMPANHIA ENERGETICA DO PIAUI;CEPISA;CPIS
COMPANHIA ENERGETICA POTIGUAR;POTIGUAR;PTGR
COMPANHIA FORCA E LUZ DO OESTE;LUZDOOESTE;CFLO
COMPANHIA JAGUARI DE ENERGIA;CIAJAGUARI;CPJG
COMPANHIA LIGNA DE INVESTIMENTOS;CIALIGNA;LIGN
COMPANHIA MELHORAMENTOS NORTE DO PARANA;CIAPARANA;CMNP
COMPANHIA METRO NORTE;METRONORTE;MTRN
COMPANHIA NACIONAL DE ALCOOL;CIAALCOOL;CPNA
COMPANHIA NACIONAL DE CIMENTO - CNC;CIMENTO NAC;CNCC
COMPANHIA NACIONAL DE ENERGIA ELETRICA;COMPNACIONAL;NEEC
COMPANHIA PARANAENSE DE GAS COMPAGAS;COMPAGAS;CPGS
Companhia Sec. de Cred. Fin. VERT-Recargapay;RECARGAPAYVE;RPAY
COMPANHIA SEC. DE CRED. IMOB. VERT-7;VERT-7;VCP7
COMPANHIA SEC. DE CREDITOS FINANCEIROS VERT-GYRA;VERTGYRA;GYRA
COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS V;VERT FINTECH;CVRT
COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS V;VERT-NEXOOS;NEXO
COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS V;COMSECREDFIN;VOLC
COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS V;COMPANHIASEC;CFVT
COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS V;COMPSECURIT;VUME
COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS V;VERTPARCELEX;VEEX
COMPANHIA SECURITIZADORA DE CRÉDITOS FINANCEIROS V;COMPANHIA SE;IOUU
COMPANHIA SULAMERICANA DE DISTRIBUIÇÃO;SULAMERICANA;SULD
COMPANHIA TRANSIRAPE DE TRANSMISSAO;TRANSIRAPE;TRSR
COMPANHIA TRANSLESTE DE TRANSMISSAO;TRANSLESTE;TRLT
COMPANHIA TRANSUDESTE DE TRANSMISSAO;TRANSUDESTE;TRSU
COMPASS GAS E ENERGIA S.A.;COMPASS;PASS
COMPLEXO MARACANA ENTRETENIMENTO S.A.;MARACANA;MACN
COMPLEXO MORRINHOS ENERGIAS RENOVAVEIS S.A.;MORRINHOSENE;CXER
COMPORTE PARTICIPACOES S.A.;COMPORTEPART;CPOR
CONASA COMPANHIA NACIONAL SANEAMENTO;CONASA COMPA;CCNS
CONASA SPE S.A.;CONASA;CNSA
CONC AUTO RAPOSO TAVARES S.A.;CONC RAPOSO;RPTA
CONC DO AEROPORTO INTERNACIONAL DE GUARULHOS S.A.;GRUAIRPORT;AGRU
CONC ECOVIAS IMIGRANTES S.A.;ECOVIAS;ECOV
CONC RIO-TERESOPOLIS S.A.;CONC RIO TER;CRTE
CONC ROD AYRTON SENNA E CARV PINTO S.A.-ECOPISTAS;ECOPISTAS;ASCP
CONC ROD.OESTE SP VIAOESTE S.A;VIAOESTE;VOES
CONC RODOVIAS DO TIETÊ S.A.;ROD TIETE;RDVT
CONC ROTA DAS BANDEIRAS S.A.;RT BANDEIRAS;CRBD
CONC SIST ANHANG-BANDEIRANT S.A. AUTOBAN;AUTOBAN;ANHB
CONCESSIONÁRIA ÁGUAS DE JUTURNAÍBA S.A.;JUTURNAÍBASA;CAJS
CONCESSIONARIA BAHIA NORTE S/A;BAHIANORTE;CBHN
CONCESSIONÁRIA BLOCO CENTRAL S.A.;CONCESSBCENT;CBCS
CONCESSIONÁRIA BLOCO SUL S.A.;CONCESSBLOCO;CBSS
CONCESSIONARIA DA LINHA 15 DO METRO DE SAO PAULO S;LINHA15METRO;CLMS
CONCESSIONARIA DA LINHA 4 DO METRO DE SAO PAULO S.;LINHA4;CNLM
CONCESSIONARIA DA RODOVIA E SERVICOS RELACIONADOS;RODLAGOS;RDLA
CONCESSIONÁRIA DA RODOVIA MS-306 S.A.;ROD MS-306;CNRD
CONCESSIONARIA DAS LINHAS 5 E 17 DO METRO DE SAO P;METROSAOPAUL;LMSP
CONCESSIONÁRIA DAS LINHAS 8 E 9 DO SISTEMA DE TREN;CONCESSIONÁR;CLTM
CONCESSIONÁRIA DE RODOVIAS ROTA DOS GRÃOS S.A;ROTADOSGRAOS;RGRA
CONCESSIONÁRIA DE SANEAMENTO DO AMAPÁ SPE S.A.;CONCSANEAMEN;CSAA
CONCESSIONARIA DO AEROPORTO INTERNACIONAL DE FLORI;FLORIANOPOLI;CAIF
CONCESSIONARIA DO RODOANEL NORTE S.A. - ECORODOAN;ECORODOANEL;ECRD
CONCESSIONARIA DO RODOANEL OESTE S/A;CONCESRODOES;RDOE
CONCESSIONÁRIA DO SISTEMA RODOVIÁRIO RIO - SP;CONCSISTRODO;CSRR
CONCESSIONARIA DOS AEROPORTOS DA AMAZONIA S/A;CONCESSAEROP;AEAM
CONCESSIONARIA ECOVIA CAMINHO DO MAR S/A;CONCESSIONAR;ECVM
CONCESSIONÁRIA LINHA UNIVERSIDADE S.A;LINHA UNI SA;LNUV
CONCESSIONARIA MOVE SAO PAULO S.A.;MOVESP;CMSP
CONCESSIONARIA RODOVIA DOS TAMOIOS S.A.;RODOVIATAMOI;RODT
CONCESSIONARIA ROTA DO ATLANTICO S.A.;ATLANTICO;RATL
CONCESSIONÁRIA ROTA DOS COQUEIROS S.A.;CONCESROTA D;RTCQ
CONCESSIONARIA SPMAR S.A;SPMAR;SPMA
CONCESSIONARIA VIARIO S.A.;VIARIO;CTOL
CONDOR SUPER CENTER LTDA;CONDORSUPERC;CNSC
CONDUCTOR TECNOLOGIA S.A.;CONDUCTORTEC;CCTC
CONE S.A.;CONE;CONE
CONFLUENCIA ENERGIA S/A;CONFLUENCIAE;CONF
CONSERVAS ODERICH S.A.;ODERICH;ODER
CONSIGNADOS I COMPANHIA SECURITIZADORA DE CREDITOS;CONSIGNADOS;CSCF
CONSORCIO ALFA DE ADMINISTRACAO S.A.;ALFA CONSORC;BRGE
CONSTRUCOES E COMERCIO CAMARGO CORREA S/A;CCCAMARGOCOR;CCCC
CONSTRUTORA TRIUNFO S.A.;TRIUNFOSA;TRIU
CONSTRUTORA ADOLPHO LINDENBERG S.A.;CONST A LIND;CALI
CONSTRUTORA ATERPA S/A;ATERPA;ATMM
CONSTRUTORA QUEIROZ GALVAO S/A;CONSTRUTORAG;CQGV
CONSTRUTORA TENDA S.A.;TENDA;TEND
CONTINUY SERVIÇOS EM TECNOLOGIA DA INFORMAÇÃO S.A.;CONTINUYSERV;CSTI
CONTOUR GLOBAL DO BRASIL PARTICIPACOES S.A.;CONTOUR;CGBP
CONVICON CONTEINERES DE VILA DO CONDE S/A;CONVICON;CVCN
COPACABANA GERACAO DE ENERGIA E PARTICIPACOES S.A.;COPACABANA;CGEP
COPAGAZ DISTRIBUIDORA DE GÁS S.A.;COPAGAZ DIST;CDGS
COPAPA COMPANHIA PADUANA DE PAPEIS;COPAPACOMPAN;CPPA
COPEL DISTRIBUICAO S/A;COPELSA;CPLD
COPEL TELECOMUNICACOES S.A.;COPELTELE;CPTM
COREMAS HOLDING II S.A.;COREMAS II;CRII
COREMAS HOLDING S/A;COREMAS HOLD;CORE
CORPOREOS SERVICOS TERAPEUTICOS SA;CORPOREOS;CTEP
CORREA RIBEIRO S.A. COMERCIO E INDUSTRIA;COR RIBEIRO;CORR
CORREDOR LOGÍSTICA E INFRAESTRUTURA S.A.;CORREDOR LOG;CLII
CORUMBA CONCESSOES S.A.;CORUMBA;CRUM
COSAN S.A.;COSAN;CSAN
COTEMINAS S.A.;COTEMINASSA;CTMS
COTIA VITORIA SERVICOS E COMERCIO S.A.;COTIAVITORIA;COTV
CPFL COMERCIALIZACAO BRASIL S/A;CPFLCOMERCBR;CPFC
CPFL COMERCIALIZAÇÃO DE ENERGIA CONE SUL LTDA.;CPFL CONESUL;CPCE
CPFL ENERGIA S.A.;CPFL ENERGIA;CPFE
CPFL ENERGIAS RENOVÁVEIS S.A.;CPFL RENOVAV;CPRE
CPFL GERACAO DE ENERGIA S.A.;CPFL GERACAO;CPFG
CPFL SERVICOS EQUIPAMENTOS INDUSTRIA E COMERCIO SA;CPFL;CPFS
CPM BRAXIS S.A.;CPM;CPMS
CPQ BRASIL S/A;CPQBRASIL;CPQB
CR2 EMPREENDIMENTOS IMOBILIARIOS S.A.;CR2;CRDE
CREDGRID SERVICOS FINANCEIROS S/A;CREDGRIDSERV;CDGD
CREDITA S/A CREDITO FINANCIAMENTO E INVESTIMENTO;CREDITACFI;CDTA
CREDZ ADMINISTRADORA DE CARTOES S.A.;CREDZ;CRED
CROMEX S/A;CROMEX;CRMX
CROMOSSOMO PARTICIPACOES III S/A;CROMOSSOMOII;CRSM
CRUZEIRO DO SUL EDUCACIONAL S.A.;CRUZEIRO EDU;CSED
CS BIOENERGIA S.A.;CSBIO;CSBN
CS BRASIL FROTAS LTDA;CSBRASILFROT;CSFR
CS BRASIL HOLDING E LOCACAO S.A.;CSBRASILHOLD;CSHO
CS BRASIL PARTICIPAÇÕES E LOCAÇÕES LTDA.;CS BR PARTIC;CSBR
CS BRASIL TRANSP PASSAGEIROS SERV AMBIENTAIS LTDA;CS BR TRANSP;CSBT
CSIXERS HOLDING S.A.;CSIXERS HOLD;CSIX
CSN MINERAÇÃO S.A.;CSNMINERACAO;CMIN
CSU CARDSYSTEM S.A.;CSU CARDSYST;CARD
CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;CTC S.A.;CTCA
CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA;TRAN PAULIST;TRPL
CULTURA INGLESA IDIOMAS S/A.;CULTURAINGLE;INGL
CURA CENTRO DE ULTRASSONOGRAFIA E RADIOLOGIA S.A;CURA;BRCU
CURY CONSTRUTORA E INCORPORADORA S.A.;CURY S/A;CURY
CUTIA EMPREENDIMENTOS EOLICOS S.A.;CUTIA;CUTI
CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.;CVC BRASIL;CVCB
CYRELA BRAZIL REALTY S.A.EMPREEND E PART;CYRELA REALT;CYRE
D1000 VAREJO FARMA PARTICIPAÇÕES S.A.;D1000VFARMA;DMVF
DATORA MOBILE TELECOMUNICACOES S.A.;DATORA;DTRA
DAYCOVAL LEASING - BANCO MULTIPLO S/A;DAYLEASBM;BCIT
DELGA INDUSTRIA E COMERCIO S/A;DELGA;DELG
DELIVERY CENTER HOLDING S.A.;DELIVERY CEN;DCHO
DELTA 2 ENERGIA S.A.;POTAMIENERGI;PTMI
DELTA 5 ENERGIA S.A.;DELTA5;DENG
DELTA 6 ENERGIA S.A.;DELTA6;DESA
DELTA 7 ENERGIA S.A.;DELTA 7;DETA
DELTA 8 ENERGIA S.A.;DELTA 8;DEET
DELTA SUCROENERGIA S/A;DELTA SUCRO;SRGI
DELTASUL UTILIDADES LTDA;DELTASULUTIL;DUTI
DESKTOP S.A.;DESKTOP;DESK
DEUTSCHE BANK S/A - BANCO ALEMAO;DEUTSCHEBM;DBSA
DEXCO S.A.;DEXCO;DXCO
DEXXOS PARTICIPACOES S.A.;DEXXOS PAR;DEXP
DGB LOGISTICA DISTRIBUICAO GEOGRAFICA DO BRASIL S.;DGBGEO;DGBL
DIAGNOSTICOS DA AMERICA S.A.;DASA;DASA
DIANA BIOENERGIA AVANHANDAVA S.A.;DIANABIOENER;DNBG
DIBENS LEASING S.A. - ARREND.MERCANTIL;DIBENS LSG;DBEN
DICKKER EMPREENDIMENTOS E PARTICIPACOES S.A.;DICCKER;DIKK
DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS;DIMED;PNVL
DIPAGRO LTDA.;DIPAGRO LTDA;DPGR
DIRECIONAL ENGENHARIA S.A.;DIRECIONAL;DIRR
DISTRIBUIDORA DE AGUA CAMACARI S.A.;CAMACARI;DACM
DISTRIBUIDORA DE AGUAS TRIUNFO S.A;AGUASTRIUNFO;AGFO
DIVCOM SA;DIVCOM;DVOM
DM 03 PARTICIPAÇÕES S.A.;DMPARTICIP;DMPR
DMA DISTRIBUIDORA S.A.;DMA DISTRIBU;DMAD
DMCARD CARTOES DE CREDITO SA;DMCARD;DMCR
DMCARD SECURITIZADORA S.A.;DMCARD SEC;DMCS
DOBREVE ENERGIA S.A.;DOBREVE;DBRV
DOBREVE PARTICIPACOES S.A.;DOBREVEPART;DOBR
DOHLER S.A.;DOHLER;DOHL
DOMMO ENERGIA S.A.;DOMMO;DMMO
DOTZ S.A.;DOTZ SA;DOTZ
DOURADOS ENERGIA S.A;DOURADOSENER;DRDE
DOX Brasil Industria e Comercio de Acos S.A.;DOXDOBRASILC;DOXB
DR REDDYS FARMACEUTICA DO BRASIL LTDA;DRREDDYSFARM;REDD
DRAMMEN RJ INFRAESTRUTURA E REDES DE TELECOMUNICAC;DRAMMENRJINF;DMRJ
DROGARIA SAO PAULO S/A;DROGARIASP;DGSP
DTCOM - DIRECT TO COMPANY S.A.;DTCOM-DIRECT;DTCY
DUNAS TRANSMISSÃO DE ENERGIA S.A;DUNASTRANSMI;DUTE
DYN DC DATA CENTERS E PARTICIPACOES S/A;DYN DC DATA;DYDC
E1 SUBHOLDING 2 S.A.;E1SUBHOLDING;ESHD
E1 SUBHOLDING S.A.;E1 SUBHOLDIN;ESB1
EBES SISTEMAS DE ENERGIA S.A.;EBESSISTEMAS;EBSE
EBTE - EMPRESA BRASILEIRA DE TRANSMISSAO DE ENERGI;EBTEEMP;EBTE
ECHOENERGIA PARTICIPACOES S.A.;ECHOENERGIA;ECHP
ECO SECURITIZADORA DIREITOS CRED AGRONEGÓCIO S.A.;ECO SEC AGRO;ECOA
ECO135 CONCESSIONARIA DE RODOVIAS S.A.;ECO135;CECO
ECOGEN BRASIL SOLUCOES ENERGETICAS S.A.;ECOGEN;ECGN
ECOPORTO SANTOS S/A;ECOPORTO S/A;ECPO
